TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0000075	"cell cycle checkpoint signaling"	NaN	5.05641694848285	0.32328191945839696	0.803463195694615	0.19250429	null
GO:0007088	"regulation of mitotic nuclear division"	7088	NaN	4.668609530089896	0.13236357747722285	0.7819945949254904	0.9379335	75
GO:0045839	"negative regulation of mitotic nuclear division"	45839	NaN	4.358068162561539	0.06474666469222366	0.7740047978269046	0.83884606	75
GO:0051784	"negative regulation of nuclear division"	51784	NaN	4.449138853393678	0.07985308417952183	0.7842590164542427	0.89159982	75
GO:0000723	"telomere maintenance"	NaN	4.859264422603913	0.2053178457660973	0.8709513776058974	0.4074426	null
GO:0000819	"sister chromatid segregation"	819	NaN	4.973954074758354	0.26737312055530305	0.8648121060936078	0.73917624	723
GO:0032200	"telomere organization"	32200	NaN	4.859618578772181	0.2054853478803147	0.9116589651807034	0.72340318	723
GO:0006090	"pyruvate metabolic process"	NaN	5.280421285782142	0.5414860719436911	0.9568729620549341	0.05070355	null
GO:0006418	"tRNA aminoacylation for protein translation"	NaN	5.442707047850012	0.786817049875543	0.9190271643627361	0.2199855	null
GO:0006515	"protein quality control for misfolded or incompletely synthesized proteins"	NaN	4.726034066487064	0.1510755509485219	0.9096892499441307	0.46766128	null
GO:0006626	"protein targeting to mitochondrion"	NaN	4.256525324848108	0.05124712989385817	0.9187139308498036	0.65730245	null
GO:0006839	"mitochondrial transport"	NaN	4.595892857941949	0.11195670973155487	0.9436815437624522	0.1884323	null
GO:0006869	"lipid transport"	NaN	5.504849940074455	0.907855781020341	0.9318157584360474	0.23265825	null
GO:0007018	"microtubule-based movement"	NaN	5.381145778195368	0.6828294661542957	0.9964907688012221	0.00333513	null
GO:0007163	"establishment or maintenance of cell polarity"	NaN	4.948672095747965	0.2522525059735796	0.996757761409911	0.00256758	null
GO:0008360	"regulation of cell shape"	NaN	5.37208863977845	0.6687365764089568	0.9059926942138369	0.57140116	null
GO:0009292	"horizontal gene transfer"	NaN	4.159597267987408	0.040995432699978504	0.9971547536135916	0	null
GO:0009566	"fertilization"	NaN	4.561649870836353	0.1034680432652851	0.9727812265255353	0	null
GO:0051321	"meiotic cell cycle"	51321	NaN	5.289981156444375	0.5535377071106862	0.9263667531482574	0.76738349	9566
GO:0009629	"response to gravity"	NaN	3.8264635490928014	0.01903562162419362	0.9779855639474397	0	null
GO:0009767	"photosynthetic electron transport chain"	NaN	4.017617573339674	0.029562703649922167	0.9792356770815344	0.00222194	null
GO:0010109	"regulation of photosynthesis"	NaN	3.634779458145952	0.01224184943229275	0.9242450949422885	0.13891759	null
GO:0010304	"PSII associated light-harvesting complex II catabolic process"	NaN	3.2907022432878543	0.005541764863598202	0.9237342554332251	0.0488694	null
GO:0010587	"miRNA catabolic process"	NaN	3.4456042032735974	0.007918023670376735	0.9185979875144606	0.32768002	null
GO:0016109	"tetraterpenoid biosynthetic process"	NaN	4.301637582726872	0.05685703121069733	0.9712430447085255	0.03863535	null
GO:0016145	"S-glycoside catabolic process"	NaN	2.6314437690131722	0.0012122610639121068	0.9206632811557233	0.36811379	null
GO:0019760	"glucosinolate metabolic process"	NaN	3.6509870943834453	0.01270744852943932	0.9319508243417199	0.32597583	null
GO:0031032	"actomyosin structure organization"	NaN	4.807981269694302	0.18244954864709964	0.933792862017411	0.00287952	null
GO:0032196	"transposition"	NaN	5.104586113706224	0.36120269470587707	0.9966661523312874	0.00304897	null
GO:0033044	"regulation of chromosome organization"	NaN	4.864463614586745	0.20779063121496721	0.8137518944422014	0.14228319	null
GO:0010639	"negative regulation of organelle organization"	10639	NaN	5.023540521554854	0.29971238467479433	0.7832076276161856	0.76354099	33044
GO:2001251	"negative regulation of chromosome organization"	2001251	NaN	4.428604485471956	0.0761651986478548	0.7963852262458168	0.81749796	33044
GO:0034728	"nucleosome organization"	NaN	4.7531462469582415	0.16080770768643923	0.9248220943827125	0.28284966	null
GO:0065004	"protein-DNA complex assembly"	65004	NaN	5.019253414422923	0.2967683220910078	0.9226854098641936	0.92696092	34728
GO:0042343	"indole glucosinolate metabolic process"	NaN	1.7993405494535817	0.00017601917087248388	0.9250104504177404	0.3361469	null
GO:0042430	"indole-containing compound metabolic process"	NaN	5.061316740851394	0.32694993185786875	0.9755946419538584	0.04399477	null
GO:0042436	"indole-containing compound catabolic process"	NaN	4.525381740677398	0.0951781081209681	0.9168450025007434	0.56458973	null
GO:0043038	"amino acid activation"	NaN	5.515969166184891	0.9313997646339783	0.950639448049431	0.59754374	null
GO:0043455	"regulation of secondary metabolic process"	NaN	4.401590072406656	0.07157166609185997	0.9160026150679865	0.21967969	null
GO:0043467	"regulation of generation of precursor metabolites and energy"	NaN	4.513164309131998	0.09253782055788083	0.9146651470631564	0.22619676	null
GO:0044273	"sulfur compound catabolic process"	NaN	4.697011268699447	0.14130932598398407	0.9006498921138324	0.48088588	null
GO:0044743	"protein transmembrane import into intracellular organelle"	NaN	4.4609879983425005	0.082061840872083	0.8923895680807646	0.68095259	null
GO:0050817	"coagulation"	NaN	4.575199395159225	0.10674711007750635	0.986443681992804	0.38087211	null
GO:0050878	"regulation of body fluid levels"	NaN	4.7274843233086	0.15158089631005903	0.9170889337603931	0.08728614	null
GO:0050879	"multicellular organismal movement"	NaN	3.9809573162296203	0.027169410729833397	0.986443681992804	0	null
GO:0051129	"negative regulation of cellular component organization"	NaN	5.22969719718407	0.4817956998857238	0.8017834354233189	0.6991028	null
GO:0051304	"chromosome separation"	NaN	4.07903645708749	0.03405403152605555	0.953172744109024	0.00224185	null
GO:0070574	"cadmium ion transmembrane transport"	NaN	4.333003684755698	0.061115559538257425	0.9512262875472669	0.00264419	null
GO:0071366	"cellular response to indolebutyric acid stimulus"	NaN	1.0413926851582251	0.000028390188850400627	0.9561331243861679	0.43435013	null
GO:0071806	"protein transmembrane transport"	NaN	5.302540880742676	0.5697797341520004	0.9046556814705868	0.56153634	null
GO:0072655	"establishment of protein localization to mitochondrion"	NaN	4.949863081080867	0.2529452265815294	0.9112086852910207	0.24506673	null
GO:0080026	"response to indolebutyric acid"	NaN	1.3979400086720377	0.0000681364532409615	0.9576338753839918	0.12092739	null
GO:1900376	"regulation of secondary metabolite biosynthetic process"	NaN	4.329865485758008	0.06067551161107621	0.9168426739154802	0.19604836	null
GO:1901699	"cellular response to nitrogen compound"	NaN	4.9730169557444155	0.2667967997216399	0.9455404809699315	0.50570253	null
GO:1901983	"regulation of protein acetylation"	NaN	1.414973347970818	0.00007097547212600156	0.9295032805731107	0	null
GO:1901984	"negative regulation of protein acetylation"	NaN	0.8450980400142568	0.000017034113310240375	0.8991530427295391	0.44940557	null
GO:2001057	"reactive nitrogen species metabolic process"	NaN	4.555807605738594	0.10208544106827055	0.9774966310269408	0.0369523	null
