TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0000075	"cell cycle checkpoint signaling"	NaN	5.05641694848285	0.32328191945839696	0.7281180900223956	0.37727438	null
GO:0007088	"regulation of mitotic nuclear division"	7088	NaN	4.668609530089896	0.13236357747722285	0.69606317614654	0.77784505	75
GO:0045839	"negative regulation of mitotic nuclear division"	45839	NaN	4.358068162561539	0.06474666469222366	0.6766927613983612	0.92385382	75
GO:0051784	"negative regulation of nuclear division"	51784	NaN	4.449138853393678	0.07985308417952183	0.6899005909107379	0.9379335	75
GO:0000723	"telomere maintenance"	NaN	4.859264422603913	0.2053178457660973	0.8575476184561968	0.44847194	null
GO:0000819	"sister chromatid segregation"	819	NaN	4.973954074758354	0.26737312055530305	0.8084047057472004	0.73912647	723
GO:0006289	"nucleotide-excision repair"	NaN	5.060055364824845	0.32600169955026537	0.9242727066836605	0.33971148	null
GO:0006334	"nucleosome assembly"	NaN	4.635071373464228	0.122526377040559	0.8590491270696734	0.55376039	null
GO:0034728	"nucleosome organization"	34728	NaN	4.7531462469582415	0.16080770768643923	0.8569358232730727	0.86454229	6334
GO:0065004	"protein-DNA complex assembly"	65004	NaN	5.019253414422923	0.2967683220910078	0.8521227089192309	0.92696092	6334
GO:0007059	"chromosome segregation"	NaN	5.4619754784893235	0.8225120343171518	0.8971769274608873	0.00383956	null
GO:0007155	"cell adhesion"	NaN	5.629135274886467	1.2086555099281058	0.9969865165755796	0.00352483	null
GO:0007163	"establishment or maintenance of cell polarity"	NaN	4.948672095747965	0.2522525059735796	0.9973571255248573	0.00256758	null
GO:0009292	"horizontal gene transfer"	NaN	4.159597267987408	0.040995432699978504	0.9976913896622612	0	null
GO:0009303	"rRNA transcription"	NaN	4.446133128810363	0.07930231451582406	0.953386551730587	0.39515152	null
GO:0009566	"fertilization"	NaN	4.561649870836353	0.1034680432652851	0.9047594471151973	0	null
GO:0051321	"meiotic cell cycle"	51321	NaN	5.289981156444375	0.5535377071106862	0.8036896470492748	0.76738349	9566
GO:0010167	"response to nitrate"	NaN	3.0681858617461617	0.0033188130766118335	0.982914005315814	0	null
GO:0016072	"rRNA metabolic process"	NaN	5.779015360002962	1.7068011195727755	0.9452092859262994	0.00416986	null
GO:0022412	"cellular process involved in reproduction in multicellular organism"	NaN	4.850878939968909	0.20139148264808693	0.8982840335185369	0.6432436	null
GO:0022603	"regulation of anatomical structure morphogenesis"	NaN	5.520098195695236	0.940297249819694	0.8185703056616624	0.16153303	null
GO:0008360	"regulation of cell shape"	8360	NaN	5.37208863977845	0.6687365764089568	0.7978858623613666	0.81720232	22603
GO:0022604	"regulation of cell morphogenesis"	22604	NaN	5.393561165241274	0.7026316228774502	0.8159341809349945	0.92775855	22603
GO:0032196	"transposition"	NaN	5.104586113706224	0.36120269470587707	0.9972798748981635	0.00304897	null
GO:0033044	"regulation of chromosome organization"	NaN	4.864463614586745	0.20779063121496721	0.7379074481701121	0.17494378	null
GO:0010639	"negative regulation of organelle organization"	10639	NaN	5.023540521554854	0.29971238467479433	0.6868274917238161	0.76354099	33044
GO:2001251	"negative regulation of chromosome organization"	2001251	NaN	4.428604485471956	0.0761651986478548	0.7059081723215176	0.81749796	33044
GO:0045927	"positive regulation of growth"	NaN	4.44742163012184	0.07953795308328239	0.8959524810167128	0.08907883	null
GO:0050817	"coagulation"	NaN	4.575199395159225	0.10674711007750635	0.9661300857879364	0	null
GO:0050878	"regulation of body fluid levels"	NaN	4.7274843233086	0.15158089631005903	0.8767319346357778	0.13225758	null
GO:0051129	"negative regulation of cellular component organization"	NaN	5.22969719718407	0.4817956998857238	0.7105328416990229	0.6991028	null
GO:0051304	"chromosome separation"	NaN	4.07903645708749	0.03405403152605555	0.9077232259800968	0.59921064	null
GO:0051640	"organelle localization"	NaN	5.447635492716675	0.7957968666089247	0.9877193962669694	0	null
GO:0051656	"establishment of organelle localization"	NaN	5.168075948546515	0.41806256493545946	0.9877193962669694	0.24637081	null
GO:0055046	"microgametogenesis"	NaN	3.347720217034038	0.00631965603809918	0.9433223865192379	0.34723092	null
GO:0048235	"pollen sperm cell differentiation"	48235	NaN	3.1082266563749283	0.0036396222106213605	0.8566621300916004	0.80285508	55046
GO:0071824	"protein-DNA complex organization"	NaN	5.0722315104977005	0.3352710962099212	0.8850742623781691	0.00312559	null
GO:1901419	"regulation of response to alcohol"	NaN	3.733598460961339	0.015370448243606899	0.8930920888495012	0.38337951	null
GO:1901420	"negative regulation of response to alcohol"	NaN	3.641176546613114	0.012423546640935314	0.8212511184122062	0.11760287	null
GO:1901983	"regulation of protein acetylation"	NaN	1.414973347970818	0.00007097547212600156	0.9085448377374095	0	null
GO:1901984	"negative regulation of protein acetylation"	NaN	0.8450980400142568	0.000017034113310240375	0.8594329498843193	0.44940557	null
