TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0000819	"sister chromatid segregation"	NaN	4.973954074758354	0.26737312055530305	0.8199269259828917	0.68459114	null
GO:0000723	"telomere maintenance"	723	NaN	4.859264422603913	0.2053178457660973	0.80989894859257	0.73912647	819
GO:0006289	"nucleotide-excision repair"	NaN	5.060055364824845	0.32600169955026537	0.8861570534626594	0.40781254	null
GO:0006312	"mitotic recombination"	NaN	4.343388897462354	0.0625946883773633	0.9249284679897868	0.22926634	null
GO:0006334	"nucleosome assembly"	NaN	4.635071373464228	0.122526377040559	0.8326637330801657	0.55376039	null
GO:0034728	"nucleosome organization"	34728	NaN	4.7531462469582415	0.16080770768643923	0.8364941784896667	0.86454229	6334
GO:0065004	"protein-DNA complex assembly"	65004	NaN	5.019253414422923	0.2967683220910078	0.8240825018414734	0.92696092	6334
GO:0006855	"xenobiotic transmembrane transport"	NaN	3.1017470739463664	0.003585680851805599	0.9975644197743141	0	null
GO:0007163	"establishment or maintenance of cell polarity"	NaN	4.948672095747965	0.2522525059735796	0.9967763818166256	0.00256758	null
GO:0008033	"tRNA processing"	NaN	5.705968853534604	1.4425679539043268	0.9151420479331301	0.43047609	null
GO:0008612	"peptidyl-lysine modification to peptidyl-hypusine"	NaN	1.146128035678238	0.00003690724550552082	0.9667538508901156	0.04033583	null
GO:0009292	"horizontal gene transfer"	NaN	4.159597267987408	0.040995432699978504	0.997166780041528	0.00196204	null
GO:0009303	"rRNA transcription"	NaN	4.446133128810363	0.07930231451582406	0.927939991955915	0.15677716	null
GO:0009566	"fertilization"	NaN	4.561649870836353	0.1034680432652851	0.9070256933555755	0	null
GO:0051321	"meiotic cell cycle"	51321	NaN	5.289981156444375	0.5535377071106862	0.840665807545377	0.76738349	9566
GO:0019684	"photosynthesis, light reaction"	NaN	4.497302925540968	0.08921900748126901	0.945719274996426	0.04223104	null
GO:0009767	"photosynthetic electron transport chain"	9767	NaN	4.017617573339674	0.029562703649922167	0.9468709891430841	0.80704253	19684
GO:0022412	"cellular process involved in reproduction in multicellular organism"	NaN	4.850878939968909	0.20139148264808693	0.9000952045218249	0.6432436	null
GO:0022603	"regulation of anatomical structure morphogenesis"	NaN	5.520098195695236	0.940297249819694	0.8797885529027786	0.16153303	null
GO:0008360	"regulation of cell shape"	8360	NaN	5.37208863977845	0.6687365764089568	0.8631460515209889	0.81720232	22603
GO:0030198	"extracellular matrix organization"	NaN	4.965789459245144	0.2623934814309427	0.8865172769404924	0.5574902	null
GO:0032196	"transposition"	NaN	5.104586113706224	0.36120269470587707	0.9966867057458385	0.00304897	null
GO:0045471	"response to ethanol"	NaN	3.5949447366950835	0.011168700293747606	0.9655051660041011	0	null
GO:0046516	"hypusine metabolic process"	NaN	4.891102387837583	0.2209352886527028	0.9751208041245897	0.00292508	null
GO:0046685	"response to arsenic-containing substance"	NaN	4.275840939904668	0.05357796439847606	0.9634022319145195	0.34207499	null
GO:0050817	"coagulation"	NaN	4.575199395159225	0.10674711007750635	0.9669492388434527	0	null
GO:0050878	"regulation of body fluid levels"	NaN	4.7274843233086	0.15158089631005903	0.9039389723127731	0.08728614	null
GO:0051129	"negative regulation of cellular component organization"	NaN	5.22969719718407	0.4817956998857238	0.7754543494796775	0.18965322	null
GO:0010639	"negative regulation of organelle organization"	10639	NaN	5.023540521554854	0.29971238467479433	0.7529938935841535	0.72207851	51129
GO:2001251	"negative regulation of chromosome organization"	2001251	NaN	4.428604485471956	0.0761651986478548	0.7665390465092696	0.81749796	51129
GO:0051304	"chromosome separation"	NaN	4.07903645708749	0.03405403152605555	0.9373283328377345	0.00224185	null
GO:0051983	"regulation of chromosome segregation"	NaN	4.73178210002384	0.1530884153380153	0.8361828456206439	0.17014965	null
GO:0000075	"cell cycle checkpoint signaling"	75	NaN	5.05641694848285	0.32328191945839696	0.7333865659307773	0.78710707	51983
GO:0007088	"regulation of mitotic nuclear division"	7088	NaN	4.668609530089896	0.13236357747722285	0.7245571113905211	0.9379335	51983
GO:0045839	"negative regulation of mitotic nuclear division"	45839	NaN	4.358068162561539	0.06474666469222366	0.7133655331056846	0.83884606	51983
GO:0051784	"negative regulation of nuclear division"	51784	NaN	4.449138853393678	0.07985308417952183	0.7504421834223981	0.89159982	51983
GO:0055046	"microgametogenesis"	NaN	3.347720217034038	0.00631965603809918	0.9446850960421336	0.34723092	null
GO:0048235	"pollen sperm cell differentiation"	48235	NaN	3.1082266563749283	0.0036396222106213605	0.8595508335855251	0.80285508	55046
GO:0071668	"plant-type cell wall assembly"	NaN	3.560026248912892	0.010305638552695427	0.8909668639052958	0.00208403	null
GO:0071824	"protein-DNA complex organization"	NaN	5.0722315104977005	0.3352710962099212	0.8622517601732131	0.24218417	null
GO:1901983	"regulation of protein acetylation"	NaN	1.414973347970818	0.00007097547212600156	0.9272963182865699	0	null
GO:1901984	"negative regulation of protein acetylation"	NaN	0.8450980400142568	0.000017034113310240375	0.8846669342681603	0.44940557	null
